row,Year,Product_type,Brand,Title,Ticker,Mkt_Date,Mkt_Date_plus6,close,close_plus6,market_cap_cur,shares_out,year_inc,spx_close,spx_plus6,rtn_vs_spx,rtn,spx
227,2010,Alcohol,Budweiser,Friends,BUD,2/8/2010,8/9/2010,$47.04 ,$52.64 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"1,339.69","1,678.92",-0.134167801,0.119047619,0.25321542
228,2010,Alcohol,Budweiser,Human Bridge,BUD,2/8/2010,8/9/2010,$47.04 ,$52.64 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"1,339.69","1,678.92",-0.134167801,0.119047619,0.25321542
261,2011,Alcohol,Bud Light,Hack Job,BUD,2/7/2011,8/8/2011,$56.29 ,$51.34 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"2,019.23","1,775.85",0.032595859,-0.087937467,-0.120533326
278,2012,Alcohol,Bud Light,Factory,BUD,2/6/2012,8/6/2012,$64.05 ,$81.97 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"2,249.69","2,156.00",0.321428122,0.279781421,-0.041646701
279,2012,Alcohol,Budweiser,The End of Prohibition,BUD,2/6/2012,8/6/2012,$64.05 ,$81.97 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"2,249.69","2,156.00",0.321428122,0.279781421,-0.041646701
280,2012,Alcohol,Budweiser,Eternal Optimism,BUD,2/6/2012,8/6/2012,$64.05 ,$81.97 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"2,249.69","2,156.00",0.321428122,0.279781421,-0.041646701
301,2014,Alcohol,Budweiser,,BUD,2/3/2014,8/4/2014,$94.31 ,$108.51 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"2,973.19","2,749.19",0.225907357,0.150567278,-0.075340079
311,2015,Alcohol,Budweiser ,,BUD,2/2/2015,8/3/2015,$123.20 ,$120.15 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"3,181.63","3,372.00",-0.08459077,-0.024756494,0.059834277
312,2015,Alcohol,Bud Light ,,BUD,2/2/2015,8/3/2015,$123.20 ,$120.15 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"3,181.63","3,372.00",-0.08459077,-0.024756494,0.059834277
365,2016,Alcohol,Bud Light ,,BUD,2/8/2016,8/8/2016,$115.19 ,$122.93 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"2,757.00","4,102.00",-0.420655779,0.067193333,0.487849111
392,2017,Alcohol,Bud Light ,,BUD,2/6/2017,8/7/2017,$105.01 ,$119.53 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"4,448.00","5,635.00",-0.128588965,0.138272545,0.266861511
393,2017,Alcohol,Budweiser ,,BUD,2/6/2017,8/7/2017,$105.01 ,$119.53 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"4,448.00","5,635.00",-0.128588965,0.138272545,0.266861511
394,2017,Alcohol,Busch ,,BUD,2/6/2017,8/7/2017,$105.01 ,$119.53 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"4,448.00","5,635.00",-0.128588965,0.138272545,0.266861511
430,2018,Alcohol,Budweiser ,,BUD,2/5/2018,8/6/2018,$106.97 ,$99.98 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"5,595.00","6,855.00",-0.290546496,-0.065345424,0.225201072
431,2018,Alcohol,Bud Light ,,BUD,2/5/2018,8/6/2018,$106.97 ,$99.98 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"5,595.00","6,855.00",-0.290546496,-0.065345424,0.225201072
432,2018,Alcohol,Bud Light ,,BUD,2/5/2018,8/6/2018,$106.97 ,$99.98 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"5,595.00","6,855.00",-0.290546496,-0.065345424,0.225201072
433,2018,Alcohol,Michelob Ultra ,,BUD,2/5/2018,8/6/2018,$106.97 ,$99.98 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"5,595.00","6,855.00",-0.290546496,-0.065345424,0.225201072
434,2018,Alcohol,Michelob Ultra ,,BUD,2/5/2018,8/6/2018,$106.97 ,$99.98 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"5,595.00","6,855.00",-0.290546496,-0.065345424,0.225201072
449,2018,Alcohol,Stella Artois and Water.org ,,BUD,2/5/2018,8/6/2018,$106.97 ,$99.98 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"5,595.00","6,855.00",-0.290546496,-0.065345424,0.225201072
505,2019,Alcohol,Bon & Viv Spiked Seltzer ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
506,2019,Alcohol,Bud Light ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
507,2019,Alcohol,Bud Light  Game of Thrones ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
508,2019,Alcohol,Budweiser ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
509,2019,Alcohol,Hennessy ,,LVMUY,2/4/2019,8/5/2019,$64.88 ,$76.22 ,"$481,887,700,000 ","2,510,242,000",1971,"6,510.00","8,500.00",-0.130808805,0.174874759,0.305683564
510,2019,Alcohol,Michelob Ultra ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
511,2019,Alcohol,Michelob Ultra Pure Gold ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
512,2019,Alcohol,Stella Artois ,,BUD,2/4/2019,8/5/2019,$77.41 ,$98.19 ,"$113,213,000,000 ","1,737,197,000",#FIELD!,"6,510.00","8,500.00",-0.037242794,0.26844077,0.305683564
546,2020,Alcohol,Presidente ,,CEECF,2/3/2020,8/3/2020,$189.12 ,$173.29 ,"$41,650,465,920 ","183,232,000",1972,"9,005.00","10,455.00",-0.244725123,-0.083703469,0.161021655
7,1982,Food,McDonald's,Hopscotch,MCD,1/25/1982,7/26/1982,$1.47 ,$1.85 ,"$217,414,390,735 ","730,031,700",1964,#VALUE!,#VALUE!,#VALUE!,0.257895809,#VALUE!
12,1988,Food,Doritos tortilla chips,,PEP,2/1/1988,8/1/1988,$5.48 ,$6.04 ,"$263,160,028,394 ","1,377,693,000",1986,#VALUE!,201.38,#VALUE!,0.10266472,#VALUE!
